rank,planet_name,star_system,habitability_probability,habitability_score,predicted_habitable,actual_label,discovery_year
3654,TOI-4214 b,TOI-4214,0.0009156837793067119,0.09156837793067119,0,0,2025
3655,HAT-P-43 b,HAT-P-43,0.0009149134418230583,0.09149134418230584,0,0,2012
3656,WASP-106 b,WASP-106,0.0009142292123400297,0.09142292123400297,0,0,2014
3657,WASP-70 A b,WASP-70 A,0.0009137665078713926,0.09137665078713926,0,0,2014
3658,TOI-4087 b,TOI-4087,0.0009136046321696524,0.09136046321696524,0,0,2023
3659,TOI-3837 b,TOI-3837,0.0009134741284467735,0.09134741284467734,0,0,2025
3660,TOI-905 b,TOI-905,0.0009130876477856734,0.09130876477856735,0,0,2020
3661,WASP-64 b,WASP-64,0.0009129461321148667,0.09129461321148667,0,0,2012
3662,TOI-2373 b,TOI-2373,0.000912742160078441,0.09127421600784409,0,0,2023
3663,HATS-10 b,HATS-10,0.000912300014433857,0.0912300014433857,0,0,2015
3664,HAT-P-53 b,HAT-P-53,0.0009122520757548627,0.09122520757548627,0,0,2015
3665,WASP-173 A b,WASP-173 A,0.0009120645236644142,0.09120645236644143,0,0,2018
3666,HATS-54 b,HATS-54,0.0009120426147659327,0.09120426147659327,0,0,2019
3667,TOI-2981 b,TOI-2981,0.0009118853907054202,0.09118853907054203,0,0,2024
3668,WASP-22 b,WASP-22,0.0009111929128960432,0.09111929128960432,0,0,2010
3669,HAT-P-1 b,HAT-P-1,0.0009108166104527686,0.09108166104527686,0,0,2006
3670,WASP-170 b,WASP-170,0.0009104922378155824,0.09104922378155823,0,0,2018
3671,K2-232 b,K2-232,0.0009104493029986098,0.09104493029986098,0,0,2018
3672,Kepler-39 b,Kepler-39,0.0009096832660025871,0.09096832660025872,0,0,2011
3673,TOI-2570 b,TOI-2570,0.0009091064277936232,0.09091064277936232,0,0,2022
3674,NGTS-32 b,NGTS-32,0.0009085711866425926,0.09085711866425926,0,0,2025
3675,WASP-19 b,WASP-19,0.0009083467330126471,0.09083467330126471,0,0,2009
3676,HATS-36 b,HATS-36,0.0009079231602876544,0.09079231602876545,0,0,2018
3677,Kepler-471 b,Kepler-471,0.0009079051366114085,0.09079051366114085,0,0,2016
3678,TOI-677 b,TOI-677,0.0009076254021052916,0.09076254021052915,0,0,2020
3679,WASP-181 b,WASP-181,0.0009068068065499884,0.09068068065499883,0,0,2019
3680,TOI-559 b,TOI-559,0.0009067829605608852,0.09067829605608853,0,0,2021
3681,WASP-162 b,WASP-162,0.0009066875736868447,0.09066875736868446,0,0,2018
3682,K2-253 b,K2-253,0.0009066518119538035,0.09066518119538035,0,0,2018
3683,HD 209458 b,HD 209458,0.0009064452781517322,0.09064452781517322,0,0,1999
3684,WASP-39 b,WASP-39,0.0009062893899871143,0.09062893899871144,0,0,2011
3685,WASP-7 b,WASP-7,0.0009054083032702254,0.09054083032702254,0,0,2008
3686,TOI-4406 b,TOI-4406,0.0009050724811384243,0.09050724811384243,0,0,2023
3687,HD 17156 b,HD 17156,0.0009049012639452909,0.0904901263945291,0,0,2007
3688,TOI-1298 b,TOI-1298,0.0009047869916224197,0.09047869916224197,0,0,2021
3689,K2-99 b,K2-99,0.00090475604400602,0.090475604400602,0,0,2016
3690,Kepler-1976 b,Kepler-1976,0.0009046835990197264,0.09046835990197263,0,0,2023
3691,HATS-30 b,HATS-30,0.0009043868117322945,0.09043868117322945,0,0,2016
